ID,experimental_replicate,concentration,growth
2,1,1,16.20
2,1,1,15.79
3,1,1,5.00
3,1,1,5.00
3,1,1,5.00
4,1,1,5.00
4,1,1,5.00
4,1,1,5.00
5,1,1,5.00
5,1,1,5.00
5,1,1,5.00
6,1,1,9.69
6,1,1,9.32
6,1,1,9.20
7,1,1,5.00
7,1,1,5.00
7,1,1,5.00
8,1,1,11.10
8,1,1,10.90
8,1,1,10.83
9,1,1,5.00
9,1,1,5.00
9,1,1,5.00
10,1,1,7.57
10,1,1,7.77
10,1,1,7.93
11,1,1,7.75
11,1,1,7.99
11,1,1,7.40
12,1,1,5.00
12,1,1,5.00
12,1,1,5.00
13,1,1,5.00
13,1,1,5.00
13,1,1,5.00
14,1,1,18.56
14,1,1,14.85
14,1,1,16.24
15,1,1,5
15,1,1,5
15,1,1,5
16,1,1,5
16,1,1,5
16,1,1,5
17,1,1,5
17,1,1,5
17,1,1,5
18,1,1,5
18,1,1,5
18,1,1,5
19,1,1,5
19,1,1,5
19,1,1,5
20,1,1,5
20,1,1,5
20,1,1,5
21,1,1,5
21,1,1,5
21,1,1,5
22,1,1,5
22,1,1,5
22,1,1,5
23,1,1,5
23,1,1,5
23,1,1,5
24,1,1,5
24,1,1,5
24,1,1,5
25,1,1,5
25,1,1,5
25,1,1,5
26,1,1,5
26,1,1,5
26,1,1,5
27,1,1,5
27,1,1,5
27,1,1,5
28,1,1,5.00
28,1,1,5.00
28,1,1,5.00
29,1,1,5
29,1,1,5
29,1,1,5
30,1,1,13.66
30,1,1,12.33
30,1,1,12.17
31,1,1,5.00
31,1,1,5.00
31,1,1,5.00
32,1,1,5.00
32,1,1,5.00
32,1,1,5.00
33,1,1,5.00
33,1,1,5.00
33,1,1,5.00
34,1,1,5.00
34,1,1,5.00
34,1,1,5.00
35,1,1,16.36
35,1,1,16.83
35,1,1,15.36
1,2,0,84.00
1,2,0,84.00
1,2,0,84.00
2,2,0,84.00
2,2,0,84.00
2,2,0,84.00
3,2,0,69.50
3,2,0,70.16
3,2,0,71.05
4,2,0,84.00
4,2,0,84.00
4,2,0,84.00
5,2,0,64.72
5,2,0,60.43
5,2,0,63.65
6,2,0,84.00
6,2,0,84.00
6,2,0,84.00
7,2,0,84.00
7,2,0,84.00
7,2,0,84.00
8,2,0,84.00
8,2,0,84.00
8,2,0,84.00
9,2,0,84.00
9,2,0,84.00
9,2,0,84.00
10,2,0,84.00
10,2,0,84.00
10,2,0,84.00
11,2,0,84.00
11,2,0,84.00
11,2,0,84.00
12,2,0,84.00
12,2,0,84.00
12,2,0,84.00
13,2,0,84.00
13,2,0,84.00
13,2,0,84.00
14,2,0,84.00
14,2,0,84.00
14,2,0,84.00
15,2,0,84.00
15,2,0,84.00
15,2,0,84.00
16,2,0,72.51
16,2,0,75.02
16,2,0,74.07
17,2,0,70.18
17,2,0,66.85
17,2,0,74.83
18,2,0,75.67
18,2,0,76.60
18,2,0,75.71
19,2,0,68.59
19,2,0,67.65
