ID,experimental_replicate,concentration,num_sclerotia
26,1,5,110
27,1,5,130
27,1,5,150
27,1,5,200
28,1,5,35
28,1,5,70
28,1,5,90
29,1,5,110
29,1,5,30
29,1,5,70
30,1,5,90
30,1,5,70
30,1,5,100
31,1,5,34
31,1,5,21
31,1,5,20
32,1,5,130
32,1,5,120
32,1,5,125
33,1,5,85
33,1,5,90
33,1,5,100
34,1,5,16
34,1,5,30
34,1,5,25
35,1,5,100
35,1,5,146
35,1,5,162
36,1,5,186
36,1,5,160
36,1,5,200
37,1,5,102
37,1,5,120
37,1,5,100
38,1,5,60
38,1,5,40
38,1,5,100
39,1,5,28
39,1,5,37
39,1,5,52
40,1,5,146
40,1,5,136
40,1,5,210
41,1,5,20
41,1,5,70
41,1,5,30
42,1,5,60
42,1,5,50
42,1,5,50
43,1,5,50
43,1,5,60
43,1,5,80
44,1,5,120
44,1,5,120
44,1,5,99
45,1,5,210
45,1,5,100
45,1,5,220
46,1,5,190
46,1,5,150
46,1,5,160
47,1,5,126
47,1,5,130
47,1,5,116
48,1,5,49
48,1,5,36
48,1,5,91
49,1,5,120
49,1,5,120
49,1,5,100
50,1,5,110
50,1,5,69
50,1,5,117
1,1,10,150
1,1,10,180
1,1,10,130
2,1,10,30
2,1,10,50
2,1,10,50
3,1,10,100
3,1,10,180
3,1,10,220
4,1,10,69
4,1,10,70
4,1,10,60
5,1,10,40
5,1,10,32
5,1,10,0
6,1,10,170
6,1,10,160
6,1,10,150
7,1,10,130
7,1,10,65
7,1,10,180
8,1,10,80
8,1,10,130
8,1,10,180
9,1,10,90
9,1,10,75
9,1,10,80
10,1,10,90
10,1,10,64
10,1,10,58
11,1,10,250
11,1,10,100
11,1,10,100
12,1,10,280
12,1,10,100
12,1,10,89
13,1,10,250
13,1,10,280
13,1,10,220
14,1,10,200
14,1,10,180
14,1,10,200
15,1,10,300
15,1,10,350
15,1,10,320
16,1,10,300
16,1,10,250
16,1,10,250
17,1,10,69
17,1,10,80
17,1,10,70
18,1,10,130
18,1,10,180
18,1,10,160
19,1,10,110
19,1,10,200
19,1,10,100
20,1,10,100
20,1,10,160
20,1,10,180
21,1,10,80
21,1,10,50
21,1,10,69
22,1,10,170
22,1,10,170
22,1,10,180
23,1,10,112
23,1,10,96
23,1,10,89
24,1,10,120
24,1,10,48
24,1,10,68
25,1,10,130
25,1,10,50
25,1,10,120
26,1,10,60
26,1,10,70
26,1,10,100
27,1,10,180
27,1,10,190
27,1,10,120
28,1,10,80
28,1,10,60
28,1,10,70
29,1,10,60
29,1,10,50
29,1,10,60
30,1,10,50
30,1,10,50
30,1,10,42
31,1,10,40
31,1,10,22
31,1,10,6
32,1,10,90
32,1,10,120
32,1,10,100
33,1,10,60
33,1,10,25
33,1,10,30
34,1,10,17
34,1,10,16
34,1,10,20
35,1,10,60
35,1,10,90
35,1,10,100
36,1,10,160
36,1,10,180
36,1,10,170
37,1,10,90
37,1,10,300
37,1,10,290
38,1,10,64
38,1,10,72
38,1,10,48
39,1,10,20
39,1,10,20
39,1,10,16
40,1,10,220
40,1,10,200
40,1,10,200
41,1,10,20
41,1,10,20
41,1,10,35
42,1,10,60
42,1,10,80
42,1,10,60
43,1,10,26
43,1,10,40
43,1,10,45
44,1,10,120
44,1,10,100
44,1,10,100
45,1,10,60
45,1,10,50
45,1,10,70
46,1,10,110
46,1,10,110
46,1,10,200
47,1,10,40
47,1,10,50
47,1,10,35
48,1,10,30
48,1,10,30
48,1,10,20
49,1,10,34
49,1,10,30
49,1,10,40
50,1,10,90
50,1,10,120
50,1,10,100
1,1,50,68
1,1,50,130
1,1,50,210
2,1,50,40
2,1,50,42
2,1,50,46
3,1,50,126
