ID,experimental_replicate,concentration,ecuatorial,polar
6,1,5,84,84
6,1,5,84,84
6,1,5,84,84
16,1,5,84,84
16,1,5,84,84
16,1,5,84,84
17,1,5,84,84
17,1,5,84,84
17,1,5,84,84
19,1,5,84,84
19,1,5,84,84
19,1,5,84,84
21,1,5,84,84
21,1,5,84,84
21,1,5,84,84
22,1,5,84,84
22,1,5,84,84
22,1,5,84,84
23,1,5,84,84
23,1,5,84,84
23,1,5,84,84
26,1,5,84,84
26,1,5,84,84
26,1,5,84,84
27,1,5,84,84
27,1,5,84,84
27,1,5,84,84
29,1,5,84,84
29,1,5,84,84
29,1,5,84,84
30,1,5,84,84
30,1,5,84,84
30,1,5,84,84
32,1,5,84,84
32,1,5,84,84
32,1,5,84,84
36,1,5,84,84
36,1,5,84,84
36,1,5,84,84
37,1,5,84,84
37,1,5,84,84
37,1,5,84,84
39,1,5,84,84
39,1,5,84,84
39,1,5,84,84
40,1,5,84,84
40,1,5,84,84
40,1,5,84,84
45,1,5,84,84
45,1,5,84,84
45,1,5,84,84
46,1,5,84,84
46,1,5,84,84
46,1,5,84,84
47,1,5,84,84
47,1,5,84,84
47,1,5,84,84
49,1,5,84,84
49,1,5,84,84
49,1,5,84,84
2,1,10,84,84
2,1,10,84,84
2,1,10,84,84
6,1,10,84,84
6,1,10,84,84
6,1,10,84,84
16,1,10,84,84
16,1,10,84,84
16,1,10,84,84
17,1,10,84,84
17,1,10,84,84
17,1,10,84,84
19,1,10,84,84
19,1,10,84,84
19,1,10,84,84
21,1,10,84,84
21,1,10,84,84
21,1,10,84,84
22,1,10,84,84
22,1,10,84,84
22,1,10,84,84
23,1,10,84,84
23,1,10,84,84
23,1,10,84,84
26,1,10,84,84
26,1,10,84,84
26,1,10,84,84
27,1,10,84,84
27,1,10,84,84
27,1,10,84,84
29,1,10,84,84
29,1,10,84,84
29,1,10,84,84
30,1,10,84,84
30,1,10,84,84
30,1,10,84,84
32,1,10,84,84
32,1,10,84,84
32,1,10,84,84
36,1,10,84,84
36,1,10,84,84
36,1,10,84,84
37,1,10,84,84
37,1,10,84,84
37,1,10,84,84
39,1,10,84,84
39,1,10,84,84
39,1,10,84,84
40,1,10,84,84
40,1,10,84,84
40,1,10,84,84
45,1,10,84,84
45,1,10,84,84
45,1,10,84,84
46,1,10,84,84
46,1,10,84,84
46,1,10,84,84
47,1,10,84,84
47,1,10,84,84
47,1,10,84,84
49,1,10,84,84
49,1,10,84,84
49,1,10,84,84
2,1,50,84,84
2,1,50,84,84
2,1,50,84,84
6,1,50,84,84
6,1,50,84,84
6,1,50,84,84
16,1,50,84,84
16,1,50,84,84
16,1,50,84,84
17,1,50,84,84
17,1,50,84,84
17,1,50,84,84
19,1,50,84,84
19,1,50,84,84
19,1,50,84,84
21,1,50,84,84
21,1,50,84,84
21,1,50,84,84
22,1,50,84,84
22,1,50,84,84
22,1,50,84,84
23,1,50,84,84
