ID,experimental_replicate,concentration,growth
66,1,1,68.82
67,1,1,64.53
67,1,1,60.94
67,1,1,66.64
69,1,1,67.64
69,1,1,68.18
69,1,1,67.91
71,1,1,63.63
71,1,1,63.5
71,1,1,68.46
73,1,1,70.82
73,1,1,70.18
73,1,1,69.18
74,1,1,41.58
74,1,1,38.83
74,1,1,39.2
76,1,1,84
76,1,1,82.49
76,1,1,84
77,1,1,30.06
77,1,1,35.61
77,1,1,34.13
78,1,1,66.18
78,1,1,65.36
78,1,1,66.67
79,1,1,65.34
79,1,1,65.67
79,1,1,62.99
80,1,1,71.97
80,1,1,68.53
80,1,1,70.25
81,1,1,60.37
81,1,1,58.15
81,1,1,60.74
82,1,1,67.95
82,1,1,70.27
82,1,1,68.06
91,1,1,84
91,1,1,84
91,1,1,83.78
92,1,1,80.88
92,1,1,81.12
92,1,1,80.51
95,1,1,81.84
95,1,1,77.93
95,1,1,77.45
97,1,1,84
97,1,1,84
97,1,1,84
98,1,1,79.75
98,1,1,79.83
98,1,1,81
100,1,1,84
100,1,1,84
100,1,1,84
101,1,1,84
101,1,1,84
101,1,1,84
102,1,1,79.41
102,1,1,78.41
102,1,1,79.03
104,1,1,84
104,1,1,84
104,1,1,84
105,1,1,82.01
105,1,1,82.47
105,1,1,83.02
108,1,1,84
108,1,1,84
108,1,1,84
111,1,1,84
111,1,1,84
111,1,1,84
116,1,1,80.87
116,1,1,81.47
116,1,1,84
124,1,1,80.4
124,1,1,82.04
124,1,1,79.87
126,1,1,84
126,1,1,84
126,1,1,84
128,1,1,78.53
128,1,1,79.46
128,1,1,81.33
129,1,1,84
129,1,1,84
129,1,1,84
134,1,1,77.78
134,1,1,78.87
134,1,1,78.49
135,1,1,84
135,1,1,84
135,1,1,84
138,1,1,78.99
138,1,1,78.88
138,1,1,78.93
140,1,1,84
140,1,1,84
140,1,1,84
151,1,1,84
151,1,1,84
151,1,1,83.78
152,1,1,84
152,1,1,84
152,1,1,84
162,1,1,84
162,1,1,84
162,1,1,84
168,1,1,67.65
168,1,1,67.58
168,1,1,68.61
169,1,1,79.48
169,1,1,78.81
169,1,1,80.05
170,1,1,84
170,1,1,84
170,1,1,84
171,1,1,84
171,1,1,84
171,1,1,84
172,1,1,84
172,1,1,84
172,1,1,84
173,1,1,84
173,1,1,84
173,1,1,84
174,1,1,84
174,1,1,84
174,1,1,84
175,1,1,84
175,1,1,84
175,1,1,84
176,1,1,84
176,1,1,84
176,1,1,84
177,1,1,84
177,1,1,84
177,1,1,84
178,1,1,84
178,1,1,84
178,1,1,84
179,1,1,84
179,1,1,84
179,1,1,84
180,1,1,84
180,1,1,84
180,1,1,84
181,1,1,84
181,1,1,84
181,1,1,84
182,1,1,84
182,1,1,84
182,1,1,84
183,1,1,84
183,1,1,84
183,1,1,84
184,1,1,84
184,1,1,84
184,1,1,84
185,1,1,84
185,1,1,84
185,1,1,84
186,1,1,84
186,1,1,84
186,1,1,81.26
1,1,2.5,68.1
